Product Title,Original Title,Shopify Price,Source Price,Profit Margin %,Product URL,Seller Name,Seller Rating,Image Count,Final Score,SKU
Phone Case for Galaxy S21,For Samsung Galaxy S21 Ultra 5G FE Plus Case Phone Cover + Tempered Glass Screen,$11.19,$7.99,40.0%,https://www.ebay.com/itm/224603819011,,N/A,1,237,EBAY_4E48CCFC
Shockproof Phone Case for Samsung Galaxy,For Samsung Galaxy S20 FE 5G Case Phone Cover Shockproof Tempered Glass Screen,$16.79,$11.99,40.0%,https://www.ebay.com/itm/276788697576,,N/A,1,237,EBAY_97CB8952
Phone Case for Galaxy S23 Ultra,For Samsung Galaxy S23 Ultra S23 Plus Case Phone Cover fit Otterbox+Screen Glass,$8.39,$5.99,40.0%,https://www.ebay.com/itm/274911215128,,N/A,1,237,EBAY_CF7A2CC7
Shockproof Rugged Phone Case for Iphone Se,"For Apple iPhone SE 2022, SE 2020 Phone Case Heavy Duty Shockproof Cover",$13.31,$9.51,40.0%,https://www.ebay.com/itm/154008332577,,N/A,1,236,EBAY_171EEE49
Shockproof Rugged Phone Case for Iphone 14 Pro Max,For iPhone 14 Pro Max/Pro/14 Case Phone Cover Shockproof Heavy Duty+Screen Glass,$11.19,$7.99,40.0%,https://www.ebay.com/itm/126671840375,,N/A,1,236,EBAY_F6F462F9
Slim Phone Case for Samsung Galaxy,For Samsung Galaxy A32 A52 A72 5G Phone Case Cover Slim+ Tempered Glass Screen,$9.79,$6.99,40.0%,https://www.ebay.com/itm/275416650022,,N/A,1,232,EBAY_43D13B49
Soft Hard Phone Case for Samsung Galaxy,For Samsung Galaxy A16 A14 A15 A54 5G Phone Case PC+TPU Cover +Tempered Glass,$9.79,$6.99,40.0%,https://www.ebay.com/itm/374502495941,,N/A,1,232,EBAY_254F8CFA
Shockproof Clear Phone Case for Iphone 15,Case for iPhone 15 14 13 11 12 Mini 7 8 XR Pro Max Clear Shockproof Phone Cover,$7.57,$5.41,40.0%,https://www.ebay.com/itm/385138610714,,N/A,1,231,EBAY_4328FE01
Shockproof Rugged Phone Case for Iphone Se,For iPhone SE 2022/2020 3rd/2nd Gen Phone Case Heavy Duty Shockproof Tough Cover,$13.99,$9.99,40.0%,https://www.ebay.com/itm/335508957970,,N/A,1,231,EBAY_11844B95
Phone Case for Samsung Galaxy,For Samsung Galaxy S9 / S9 Plus Case Phone Cover Stand+ Tempered Glass Protector,$12.59,$8.99,40.0%,https://www.ebay.com/itm/224177559901,,N/A,1,230,EBAY_A3648E7A
Shockproof Phone Case for Samsung Galaxy,For Samsung Galaxy A21 A23 5G A24 Case Phone Cover Shockproof +Tempered Glass,$11.19,$7.99,40.0%,https://www.ebay.com/itm/224136011950,,N/A,1,230,EBAY_500A0C30
Phone Case for Samsung Galaxy,For Samsung Galaxy A42 5G Case Phone Cover Kickstand + Tempered Glass Protector,$13.99,$9.99,40.0%,https://www.ebay.com/itm/224533522766,,N/A,1,230,EBAY_E116EF6B
Shockproof Phone Case for Samsung Galaxy,For Samsung Galaxy A36 5G Case Phone Cover Dual Layer Shockproof +Tempered Glass,$12.59,$8.99,40.0%,https://www.ebay.com/itm/226690319961,,N/A,1,230,EBAY_59F09B6C
Shockproof Phone Case for Samsung Galaxy,For Samsung Galaxy A16 5G Case Shockproof Tough Phone Cover + Tempered Glass,$12.59,$8.99,40.0%,https://www.ebay.com/itm/277582047343,,N/A,1,230,EBAY_7C4E1136
